;precision;recall;f1-score;support
10U;1.0;0.98;0.98989898989899;100.0
13U;1.0;1.0;1.0;100.0
15U;0.06306306306306306;0.07;0.06635071090047394;100.0
16U;0.78125;1.0;0.8771929824561403;100.0
2021;0.8928571428571429;1.0;0.9433962264150945;100.0
2U;1.0;1.0;1.0;100.0
34T;1.0;1.0;1.0;100.0
3884;1.0;0.95;0.9743589743589743;100.0
3U;1.0;0.99;0.9949748743718593;100.0
41(2)w;0.78125;1.0;0.8771929824561403;100.0
41(4)il;0.591715976331361;1.0;0.7434944237918216;100.0
41(7)il;1.0;1.0;1.0;100.0
42(1)il;1.0;1.0;1.0;100.0
42(6)w;0.6290322580645161;0.39;0.4814814814814815;100.0
44(7)il;1.0;0.98;0.98989898989899;100.0
45(3)il;1.0;1.0;1.0;100.0
45(5)il;0.9900990099009901;1.0;0.9950248756218906;100.0
46(10)il;1.0;1.0;1.0;100.0
46(5)il;0.8264462809917356;1.0;0.904977375565611;100.0
47(11)il;1.0;0.02;0.0392156862745098;100.0
47(5)w;0.9900990099009901;1.0;0.9950248756218906;100.0
47(6)il;0.6111111111111112;0.11;0.1864406779661017;100.0
47(8)il;0.5050505050505051;1.0;0.6711409395973155;100.0
48(1)w;1.0;0.77;0.8700564971751412;100.0
4U;1.0;1.0;1.0;100.0
51(1)il;0.0;0.0;0.0;100.0
51(3)w;0.0;0.0;0.0;100.0
51(5)il;0.5;1.0;0.6666666666666666;100.0
6244;1.0;0.41;0.5815602836879432;100.0
666;1.0;1.0;1.0;100.0
6806;0.6289308176100629;1.0;0.7722007722007722;100.0
9419;1.0;1.0;1.0;100.0
9U;0.22727272727272727;0.75;0.34883720930232553;100.0
B13;1.0;1.0;1.0;100.0
B394;1.0;0.98;0.98989898989899;100.0
B396;1.0;1.0;1.0;100.0
B397;0.6083916083916084;0.87;0.7160493827160495;100.0
B40;0.9803921568627451;1.0;0.99009900990099;100.0
B497;1.0;1.0;1.0;100.0
B504;1.0;1.0;1.0;100.0
B512;1.0;0.44;0.6111111111111112;100.0
B82;1.0;1.0;1.0;100.0
Cd1;0.9523809523809523;1.0;0.975609756097561;100.0
Cd3;1.0;0.88;0.9361702127659575;100.0
Cu1;0.6622516556291391;1.0;0.7968127490039841;100.0
DS1T;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
KG16(2);0.9615384615384616;0.75;0.8426966292134831;100.0
KG16(2011)1_(k14dt)-fs;0.0;0.0;0.0;100.0
KG16(3);1.0;0.94;0.9690721649484536;100.0
KH2;0.03333333333333333;0.03;0.03157894736842106;100.0
KH3;0.5897435897435898;0.23;0.33093525179856115;100.0
KH6;0.5128205128205128;1.0;0.6779661016949152;100.0
KL20;1.0;1.0;1.0;100.0
KU16oc(1)2011;1.0;1.0;1.0;100.0
KU16oc(3)2011;1.0;0.19;0.319327731092437;100.0
KU3-5(2);1.0;1.0;1.0;100.0
KU82(2);1.0;1.0;1.0;100.0
KUskv2(1);1.0;0.12;0.21428571428571425;100.0
KUskv2(1)(K9dt);1.0;1.0;1.0;100.0
O19;0.14285714285714285;0.11;0.12429378531073446;100.0
O32;0.9900990099009901;1.0;0.9950248756218906;100.0
O33;0.36;0.99;0.5279999999999999;100.0
O4;1.0;0.71;0.8304093567251462;100.0
O41;0.35507246376811596;0.49;0.411764705882353;100.0
O43;0.9803921568627451;1.0;0.99009900990099;100.0
O45;1.0;1.0;1.0;100.0
O48;0.6521739130434783;0.75;0.6976744186046512;100.0
O6;0.036036036036036036;0.04;0.037914691943127965;100.0
Seya;1.0;1.0;1.0;100.0
UD01;1.0;0.31;0.47328244274809156;100.0
UDO1;1.0;1.0;1.0;100.0
antclone_1;1.0;1.0;1.0;100.0
k6dt;0.016666666666666666;0.01;0.0125;100.0
accuracy;0.7737837837837838;0.7737837837837838;0.7737837837837838;0.7737837837837838
macro avg;0.795301723810672;0.7737837837837838;0.7496211288424832;7400.0
weighted avg;0.7953017238106721;0.7737837837837838;0.749621128842483;7400.0
