;precision;recall;f1-score;support
Anoxybacillus_flavithermus;1.0;1.0;1.0;100.0
Bacillus_altitudinis;0.8909487459105779;0.9077777777777778;0.8992845349477161;900.0
Bacillus_aryabhattai;0.746268656716418;1.0;0.8547008547008548;100.0
Bacillus_atrophaeus;1.0;1.0;1.0;200.0
Bacillus_berkeleyi;0.0;0.0;0.0;100.0
Bacillus_cereus;0.9544573643410853;0.985;0.969488188976378;1000.0
Bacillus_chungangenis;1.0;1.0;1.0;100.0
Bacillus_clausii;1.0;1.0;1.0;100.0
Bacillus_coagulans;1.0;1.0;1.0;100.0
Bacillus_flexus;1.0;1.0;1.0;200.0
Bacillus_licheniformis;0.9815950920245399;1.0;0.9907120743034055;800.0
Bacillus_megaterium;1.0;0.9433333333333334;0.9708404802744426;600.0
Bacillus_mycoides;1.0;1.0;1.0;100.0
Bacillus_pumilus;0.9534492428491307;0.9444444444444444;0.9489254814401339;1800.0
Bacillus_simplex;1.0;1.0;1.0;600.0
Bacillus_subtilis;0.5;1.0;0.6666666666666666;100.0
Bacillus_thuringiensis;1.0;0.53;0.6928104575163399;100.0
Bacillus_weihenstephanensis;1.0;1.0;1.0;100.0
E-Coli;1.0;1.0;1.0;100.0
Geobacillus_subterraneus;1.0;1.0;1.0;200.0
accuracy;0.9487837837837838;0.9487837837837838;0.9487837837837838;0.9487837837837838
macro avg;0.9013359550920876;0.9155277777777776;0.8996714369412968;7400.0
weighted avg;0.9435706502811236;0.9487837837837838;0.9437029570969379;7400.0
