,precision,recall,f1-score,support
10U,1.0,1.0,1.0,7.0
13U,1.0,1.0,1.0,4.0
15U,1.0,1.0,1.0,8.0
16U,1.0,1.0,1.0,9.0
2021,1.0,1.0,1.0,1.0
2U,1.0,1.0,1.0,21.0
34T,1.0,1.0,1.0,9.0
3884,1.0,1.0,1.0,14.0
3U,1.0,1.0,1.0,6.0
41(2)w,1.0,1.0,1.0,5.0
41(4)il,1.0,1.0,1.0,6.0
41(7)il,1.0,1.0,1.0,5.0
42(1)il,1.0,1.0,1.0,9.0
42(6)w,1.0,1.0,1.0,6.0
44(7)il,1.0,1.0,1.0,5.0
45(3)il,1.0,1.0,1.0,4.0
45(5)il,1.0,1.0,1.0,7.0
46(10)il,1.0,1.0,1.0,5.0
46(5)il,1.0,1.0,1.0,8.0
47(11)il,1.0,1.0,1.0,6.0
47(5)w,1.0,1.0,1.0,8.0
47(6)il,1.0,1.0,1.0,11.0
47(8)il,1.0,1.0,1.0,6.0
48(1)w,1.0,1.0,1.0,2.0
4U,1.0,1.0,1.0,11.0
51(1)il,1.0,1.0,1.0,7.0
51(3)w,1.0,1.0,1.0,11.0
51(5)il,1.0,1.0,1.0,7.0
6244,1.0,1.0,1.0,5.0
666,1.0,1.0,1.0,6.0
6806,1.0,1.0,1.0,6.0
9419,1.0,1.0,1.0,3.0
9U,1.0,1.0,1.0,7.0
B13,1.0,1.0,1.0,3.0
B394,1.0,1.0,1.0,4.0
B396,1.0,1.0,1.0,11.0
B397,1.0,1.0,1.0,6.0
B40,1.0,1.0,1.0,6.0
B497,1.0,1.0,1.0,6.0
B504,1.0,1.0,1.0,4.0
B512,1.0,1.0,1.0,10.0
B82,1.0,1.0,1.0,7.0
Cd1,1.0,1.0,1.0,10.0
Cd3,1.0,1.0,1.0,5.0
Cu1,1.0,1.0,1.0,10.0
DS1T,1.0,1.0,1.0,8.0
E-Coli,1.0,1.0,1.0,2.0
KG16(2),1.0,1.0,1.0,3.0
KG16(2011)1_(k14dt)-fs,1.0,1.0,1.0,5.0
KG16(3),1.0,1.0,1.0,7.0
KH2,1.0,1.0,1.0,4.0
KH3,1.0,1.0,1.0,7.0
KH6,1.0,1.0,1.0,10.0
KL20,1.0,1.0,1.0,3.0
KU16oc(1)2011,1.0,1.0,1.0,8.0
KU16oc(3)2011,1.0,1.0,1.0,6.0
KU3-5(2),1.0,1.0,1.0,7.0
KU82(2),1.0,1.0,1.0,8.0
KUskv2(1),1.0,1.0,1.0,8.0
KUskv2(1)(K9dt),1.0,1.0,1.0,4.0
O19,1.0,1.0,1.0,12.0
O32,1.0,1.0,1.0,11.0
O33,1.0,1.0,1.0,5.0
O4,1.0,1.0,1.0,5.0
O41,1.0,1.0,1.0,8.0
O43,1.0,1.0,1.0,8.0
O45,1.0,1.0,1.0,3.0
O48,1.0,1.0,1.0,7.0
O6,1.0,1.0,1.0,7.0
Seya,1.0,1.0,1.0,3.0
UD01,1.0,1.0,1.0,1.0
UDO1,1.0,1.0,1.0,4.0
antclone_1,1.0,1.0,1.0,7.0
k6dt,1.0,1.0,1.0,4.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,492.0
weighted avg,1.0,1.0,1.0,492.0
