,precision,recall,f1-score,support
Anoxybacillus_flavithermus,1.0,1.0,1.0,8.0
Bacillus_altitudinis,1.0,0.9850746268656716,0.9924812030075187,67.0
Bacillus_aryabhattai,1.0,1.0,1.0,4.0
Bacillus_atrophaeus,1.0,1.0,1.0,10.0
Bacillus_berkeleyi,1.0,1.0,1.0,7.0
Bacillus_cereus,1.0,1.0,1.0,46.0
Bacillus_chungangenis,1.0,1.0,1.0,5.0
Bacillus_clausii,1.0,1.0,1.0,8.0
Bacillus_coagulans,1.0,1.0,1.0,6.0
Bacillus_flexus,1.0,1.0,1.0,14.0
Bacillus_licheniformis,1.0,1.0,1.0,72.0
Bacillus_megaterium,1.0,1.0,1.0,50.0
Bacillus_mycoides,1.0,1.0,1.0,3.0
Bacillus_pumilus,0.9910714285714286,1.0,0.9955156950672646,111.0
Bacillus_simplex,1.0,1.0,1.0,40.0
Bacillus_subtilis,1.0,1.0,1.0,4.0
Bacillus_thuringiensis,1.0,1.0,1.0,5.0
Bacillus_weihenstephanensis,1.0,1.0,1.0,7.0
E-Coli,1.0,1.0,1.0,7.0
Geobacillus_subterraneus,1.0,1.0,1.0,18.0
accuracy,0.9979674796747967,0.9979674796747967,0.9979674796747967,0.9979674796747967
macro avg,0.9995535714285715,0.9992537313432835,0.9993998449037391,492.0
weighted avg,0.9979856271777003,0.9979674796747967,0.9979643958414026,492.0
